wave,account,status,name,link,chat_id,notes,kind,subscribers
5,acc1,pending,onlayn_rabota,https://t.me/onlayn_rabota,,owner-2026-06-15,chat,77343
5,acc2,pending,frilancru,https://t.me/frilancru,,owner-2026-06-15,chat,74747
5,acc3,pending,jobospherechat,https://t.me/jobospherechat,,owner-2026-06-15,chat,48261
5,acc1,pending,proffreelancee_chat,https://t.me/proffreelancee_chat,,owner-2026-06-15,chat,43733
5,acc2,pending,workk_onchat,https://t.me/workk_onchat,,owner-2026-06-15,chat,40178
5,acc3,pending,teletoloka,https://t.me/teletoloka,,owner-2026-06-15,chat,39413
5,acc1,pending,rollycrd,https://t.me/rollycrd,,owner-2026-06-15,chat,37553
5,acc2,pending,wrk_002,https://t.me/wrk_002,,owner-2026-06-15,chat,36170
5,acc3,pending,udalenkachatt,https://t.me/udalenkachatt,,owner-2026-06-15,chat,35291
5,acc1,pending,destchat,https://t.me/destchat,,owner-2026-06-15,chat,32246
5,acc2,pending,rueventjob4at,https://t.me/rueventjob4at,,owner-2026-06-15,chat,31680
5,acc3,pending,crd_777,https://t.me/crd_777,,owner-2026-06-15,chat,31335
5,acc1,pending,freelance_birzha,https://t.me/freelance_birzha,,owner-2026-06-15,chat,31137
5,acc2,pending,bizneschats,https://t.me/bizneschats,,owner-2026-06-15,chat,29209
5,acc3,pending,jir_chat,https://t.me/jir_chat,,owner-2026-06-15,chat,29172
5,acc1,pending,lutacash,https://t.me/lutacash,,owner-2026-06-15,chat,27834
5,acc2,pending,vip_escorttur,https://t.me/vip_escorttur,,owner-2026-06-15,chat,27046
5,acc3,pending,in_traff,https://t.me/in_traff,,owner-2026-06-15,chat,27017
5,acc1,pending,poisk_rabota_moskva,https://t.me/poisk_rabota_moskva,,owner-2026-06-15,chat,26657
5,acc2,pending,smmvakancii,https://t.me/smmvakancii,,owner-2026-06-15,chat,26444
5,acc3,pending,chatfreelans,https://t.me/chatfreelans,,owner-2026-06-15,chat,26104
5,acc1,pending,wrk_077,https://t.me/wrk_077,,owner-2026-06-15,chat,24652
5,acc2,pending,birjafreelance,https://t.me/birjafreelance,,owner-2026-06-15,chat,24436
5,acc3,pending,freelansvipchat,https://t.me/freelansvipchat,,owner-2026-06-15,chat,24307
5,acc1,pending,one_619,https://t.me/one_619,,owner-2026-06-15,chat,24007
5,acc2,pending,wts_777,https://t.me/wts_777,,owner-2026-06-15,chat,23542
5,acc3,pending,frilans_chat3,https://t.me/frilans_chat3,,owner-2026-06-15,chat,22224
5,acc1,pending,lemonvacancy,https://t.me/lemonvacancy,,owner-2026-06-15,chat,21933
5,acc2,pending,workk_onhrchat,https://t.me/workk_onhrchat,,owner-2026-06-15,chat,21581
5,acc3,pending,vakansii_rabotaxq,https://t.me/vakansii_rabotaxq,,owner-2026-06-15,chat,20262
5,acc1,pending,workk_onleadschat,https://t.me/workk_onleadschat,,owner-2026-06-15,chat,19532
5,acc2,pending,freelance_vakansiii,https://t.me/freelance_vakansiii,,owner-2026-06-15,chat,18843
5,acc3,pending,coronajobskiev,https://t.me/coronajobskiev,,owner-2026-06-15,chat,18729
5,acc1,pending,freelancenolimit,https://t.me/freelancenolimit,,owner-2026-06-15,chat,18149
5,acc2,pending,frilanc_chat,https://t.me/frilanc_chat,,owner-2026-06-15,chat,18018
5,acc3,pending,ggfreelancechat,https://t.me/ggfreelancechat,,owner-2026-06-15,chat,17956
5,acc1,pending,frilanse,https://t.me/frilanse,,owner-2026-06-15,chat,17269
5,acc2,pending,proffreelancee_baraholca,https://t.me/proffreelancee_baraholca,,owner-2026-06-15,chat,16922
5,acc3,pending,freelancerchat1,https://t.me/freelancerchat1,,owner-2026-06-15,chat,16651
5,acc1,pending,freelance_chat_ru,https://t.me/freelance_chat_ru,,owner-2026-06-15,chat,16459
5,acc2,pending,free_lancers_chat,https://t.me/free_lancers_chat,,owner-2026-06-15,chat,16433
5,acc3,pending,freelance_vacancii,https://t.me/freelance_vacancii,,owner-2026-06-15,chat,16083
5,acc1,pending,freelance_work,https://t.me/freelance_work,,owner-2026-06-15,chat,15527
5,acc2,pending,theretrochat,https://t.me/theretrochat,,owner-2026-06-15,chat,15396
5,acc3,pending,udalenka_chatik,https://t.me/udalenka_chatik,,owner-2026-06-15,chat,15394
5,acc1,pending,freelancejob1,https://t.me/freelancejob1,,owner-2026-06-15,chat,15229
5,acc2,pending,freelancebarchat,https://t.me/freelancebarchat,,owner-2026-06-15,chat,14616
5,acc3,pending,udalenka13,https://t.me/udalenka13,,owner-2026-06-15,chat,14588
5,acc1,pending,freelance_freelancer,https://t.me/freelance_freelancer,,owner-2026-06-15,chat,13328
5,acc2,pending,mari_vakansi,https://t.me/mari_vakansi,,owner-2026-06-15,chat,12532
5,acc3,pending,freeassistant,https://t.me/freeassistant,,owner-2026-06-15,chat,12190
5,acc1,pending,frilans_udalenka_rabota,https://t.me/frilans_udalenka_rabota,,owner-2026-06-15,chat,12136
5,acc2,pending,frilans_slavynskiimir,https://t.me/frilans_slavynskiimir,,owner-2026-06-15,chat,12041
5,acc3,pending,sswork,https://t.me/sswork,,owner-2026-06-15,chat,11948
5,acc1,pending,rabota_udalenno_moskva,https://t.me/rabota_udalenno_moskva,,owner-2026-06-15,chat,11815
5,acc2,pending,frilans_chatik,https://t.me/frilans_chatik,,owner-2026-06-15,chat,11814
5,acc3,pending,poiskfreelance,https://t.me/poiskfreelance,,owner-2026-06-15,chat,11809
5,acc1,pending,udalenka_chatt,https://t.me/udalenka_chatt,,owner-2026-06-15,chat,11690
5,acc2,pending,solfreelance,https://t.me/solfreelance,,owner-2026-06-15,chat,11485
5,acc3,pending,vakansi_chat,https://t.me/vakansi_chat,,owner-2026-06-15,chat,11481
5,acc1,pending,freelance_in_telegram,https://t.me/freelance_in_telegram,,owner-2026-06-15,chat,11284
5,acc2,pending,rabotavakanciapodrabotka,https://t.me/rabotavakanciapodrabotka,,owner-2026-06-15,chat,11234
5,acc3,pending,freelancealeksei,https://t.me/freelancealeksei,,owner-2026-06-15,chat,10719
5,acc1,pending,newfrelans,https://t.me/newfrelans,,owner-2026-06-15,chat,10688
5,acc2,pending,lubsiteclubjob,https://t.me/lubsiteclubjob,,owner-2026-06-15,chat,10610
5,acc3,pending,top_freelance_group,https://t.me/top_freelance_group,,owner-2026-06-15,chat,10337
5,acc1,pending,arrowit,https://t.me/arrowit,,owner-2026-06-15,chat,10140
5,acc2,pending,webdizaineri,https://t.me/webdizaineri,,owner-2026-06-15,chat,10070
5,acc3,pending,designdealer_chat,https://t.me/designdealer_chat,,owner-2026-06-15,chat,9915
5,acc1,pending,itjobsinam,https://t.me/itjobsinam,,owner-2026-06-15,chat,9864
5,acc2,pending,beaverbiz_freelance,https://t.me/beaverbiz_freelance,,owner-2026-06-15,chat,9819
5,acc3,pending,freelance_ads_group,https://t.me/freelance_ads_group,,owner-2026-06-15,chat,9637
5,acc1,pending,avitohelpme,https://t.me/avitohelpme,,owner-2026-06-15,chat,9487
5,acc2,pending,freelance_rabotachat,https://t.me/freelance_rabotachat,,owner-2026-06-15,chat,9146
5,acc3,pending,freelancerscha,https://t.me/freelancerscha,,owner-2026-06-15,chat,9076
5,acc1,pending,freelancer_choogl,https://t.me/freelancer_choogl,,owner-2026-06-15,chat,8921
5,acc2,pending,freelancers_vacancy,https://t.me/freelancers_vacancy,,owner-2026-06-15,chat,8750
5,acc3,pending,avitodasschat,https://t.me/avitodasschat,,owner-2026-06-15,chat,8730
5,acc1,pending,freelancesam,https://t.me/freelancesam,,owner-2026-06-15,chat,8714
5,acc2,pending,ui_ux_web,https://t.me/ui_ux_web,,owner-2026-06-15,chat,8706
5,acc3,pending,vakanssii,https://t.me/vakanssii,,owner-2026-06-15,chat,8677
5,acc1,pending,kiev_podrabotka777,https://t.me/kiev_podrabotka777,,owner-2026-06-15,chat,8644
5,acc2,pending,udalenkarossiya,https://t.me/udalenkarossiya,,owner-2026-06-15,chat,8482
5,acc3,pending,job_kharkov,https://t.me/job_kharkov,,owner-2026-06-15,chat,8430
5,acc1,pending,designchat2,https://t.me/designchat2,,owner-2026-06-15,chat,8248
5,acc2,pending,workaef,https://t.me/workaef,,owner-2026-06-15,chat,8204
5,acc3,pending,ihavejobwork,https://t.me/ihavejobwork,,owner-2026-06-15,chat,8145
5,acc1,pending,getfrilans,https://t.me/getfrilans,,owner-2026-06-15,chat,7978
